预测结果_Y,Energy,Autocorrelation Peak,Entropy,Autocorrelation Lag,Mean,Peak Frequency,Bandwidth,Standard Deviation,Duration,Peak Value
4.200000000000002,0.00754102570727412,0.00754102570727412,0.747884609459985,63,0.001869636021875,8,-23,0.0106926604650978,64,0.02444739
6.0,0.00665891749021797,0.00665891749021797,1.42391755737897,63,0.0037334529765625,0,-23,0.00949246620517831,64,0.02070463
4.200000000000002,0.0077282489786217,0.0077282489786217,0.126242294698888,63,0.000276246784375,8,-15,0.0109853346787927,64,0.01976925
6.4,0.00545448953183268,0.00545448953183268,0.506997416632575,63,0.001343369296875,8,-20,0.00913355121883592,64,0.02397961
4.200000000000002,0.00636660220512928,0.00636660220512928,1.22506644366316,63,0.003331428159375,0,-24,0.00940105025377847,64,0.03052813
4.200000000000002,0.00594418210685685,0.00594418210685685,0.81414236346359,63,0.0020158163515625,8,-20,0.00942413549650107,64,0.02538295
4.200000000000001,0.00961295423455215,0.00961295423455215,0.640797676749788,63,0.001730795678125,8,-16,0.0121328791403962,64,0.03006035
6.4,0.00613646008861959,0.00613646008861959,1.34235032463078,63,0.0034557016265625,0,-23,0.00916189473596234,64,0.02491517
5.0,0.00682326254827888,0.00682326254827888,-0.255882882200016,63,-0.0009004712078125,8,-21,0.0102860404879992,64,0.0188337
4.200000000000002,0.0058803807071126,0.0058803807071126,0.162695460887771,63,0.0002908847890625,8,-16,0.00958104037086404,64,0.02257646
4.200000000000001,0.00649633391965692,0.00649633391965692,0.416741956946527,63,0.001197234525,8,-15,0.0100035917043224,64,0.02538295
6.0,0.00583204557882488,0.00583204557882488,0.418585148081437,63,0.0009779235890625,23,-15,0.00949575576892613,64,0.0211724
4.200000000000001,0.00823274958495733,0.00823274958495733,0.814620971962201,63,0.002096212428125,16,-16,0.0111464167211321,64,0.02818943
6.3999999999999995,0.00673189393971496,0.00673189393971496,0.223916414907777,63,0.000356673884375,21,-18,0.0102498110493926,64,0.01930148
4.200000000000002,0.00652985214045904,0.00652985214045904,0.621179959917977,63,0.0014237882953125,3,-22,0.0100000883288501,64,0.02585072
4.200000000000001,0.00887700370545891,0.00887700370545891,0.986182922961313,63,0.0024324161421875,1,-24,0.0115233039797196,64,0.02304424
4.200000000000001,0.00728246471022322,0.00728246471022322,0.634517237890792,63,0.0014676310890625,8,-19,0.0105657261976475,64,0.02304424
6.0,0.00604970808443308,0.00604970808443308,0.658966303628209,63,0.0014895780765625,8,-18,0.00960769722530281,64,0.02210796
6.4,0.00645312654435852,0.00645312654435852,1.32604066229978,63,0.003528777396875,0,-23,0.0094009484808133,64,0.02538295
4.200000000000002,0.00845714889407492,0.00845714889407492,0.973545773459333,63,0.0026005632203125,8,-19,0.011197322108749,64,0.02351202
4.200000000000002,0.00788071634169015,0.00788071634169015,0.893958455653176,63,0.0021108077296875,8,-23,0.0108940664385343,64,0.02164018
7.0,0.0059584138207782,0.0059584138207782,-0.434884256510849,63,-0.001200183653125,8,-18,0.0095739111729967,64,0.02070463
6.4,0.00674838959906875,0.00674838959906875,-0.190039183566918,63,-0.000710445446875,22,-19,0.0102439667488949,64,0.01649499
4.200000000000001,0.00751470905829486,0.00751470905829486,-0.841313056913491,63,-0.0018798459859375,2,-23,0.010671621624899,64,0.03239979
6.4,0.00384275861119692,0.00384275861119692,0.218784935069335,63,0.0004443368328125,8,-18,0.00773599819538229,64,0.01743055
5.0,0.0087320844390065,0.0087320844390065,-0.0709220611200871,63,-5.26253109375003e-05,8,-19,0.0116805843148417,64,0.02351202
4.200000000000001,0.00812021176826146,0.00812021176826146,0.617119491254916,63,0.001577303434375,8,-13,0.0111530454475446,64,0.0314635
4.200000000000001,0.0101172264468884,0.0101172264468884,0.885210378421674,63,0.0025200986203125,8,-23,0.0123179042932039,64,0.03006035
4.200000000000002,0.00643154539871609,0.00643154539871609,0.634478197939948,63,0.001869618453125,8,-23,0.00984872700884096,64,0.03006035
4.200000000000001,0.00831147738083717,0.00831147738083717,1.55488551344081,63,0.0041573188203125,0,-23,0.010610538831834,64,0.0291248
6.4,0.00737067500396914,0.00737067500396914,2.07805401848034,63,0.0053560265015625,0,-25,0.00929945036287511,64,0.02351202
4.200000000000001,0.00931486485142408,0.00931486485142408,1.61222753418282,63,0.0042012437703125,0,-23,0.0113090368328126,64,0.03754497
4.200000000000002,0.00688789016717667,0.00688789016717667,0.683873668174216,63,0.001789267984375,5,-23,0.0102186987401638,64,0.02585072
4.200000000000002,0.00756948612271098,0.00756948612271098,0.890890693520401,63,0.0021692514015625,8,-23,0.0106568085759377,64,0.02725387
4.200000000000002,0.00801919600598954,0.00801919600598955,-0.627671347737434,63,-0.0014413471015625,8,-18,0.0111005610725947,64,0.04596515
6.4,0.00716506271414154,0.00716506271414154,-0.860850998580339,63,-0.0024353681734375,1,-23,0.0102967512725262,64,0.01789833
4.200000000000001,0.00735356087014728,0.00735356087014728,-0.309170246699856,63,-0.000768923378125,8,-23,0.0106914987459488,64,0.02210796
4.200000000000001,0.00709441069574432,0.00709441069574432,0.625331393780033,63,0.002037711959375,8,-23,0.0103294674156815,64,0.03520627
6.3999999999999995,0.008170103929504,0.008170103929504,1.42896432758277,63,0.003791862040625,0,-20,0.0106432916037928,64,0.03286757
