预测结果_Y,Energy,Mean,Standard Deviation,Peak Value,Duration,Peak Frequency,Bandwidth,Autocorrelation Lag,Autocorrelation Peak,Entropy
4.917798165137549,0.00754102570727412,0.001869636021875,0.0106926604650978,0.02444739,64,8,-23,63,0.00754102570727412,0.747884609459985
6.560606060606055,0.00665891749021797,0.0037334529765625,0.00949246620517831,0.02070463,64,0,-23,63,0.00665891749021797,1.42391755737897
4.917798165137549,0.0077282489786217,0.000276246784375,0.0109853346787927,0.01976925,64,8,-15,63,0.0077282489786217,0.126242294698888
5.858139534883713,0.00545448953183268,0.001343369296875,0.00913355121883592,0.02397961,64,8,-20,63,0.00545448953183268,0.506997416632575
6.560606060606055,0.00636660220512928,0.003331428159375,0.00940105025377847,0.03052813,64,0,-24,63,0.00636660220512928,1.22506644366316
5.858139534883713,0.00594418210685685,0.0020158163515625,0.00942413549650107,0.02538295,64,8,-20,63,0.00594418210685685,0.81414236346359
4.917798165137549,0.00961295423455215,0.001730795678125,0.0121328791403962,0.03006035,64,8,-16,63,0.00961295423455215,0.640797676749788
6.560606060606055,0.00613646008861959,0.0034557016265625,0.00916189473596234,0.02491517,64,0,-23,63,0.00613646008861959,1.34235032463078
5.858139534883713,0.00682326254827888,-0.0009004712078125,0.0102860404879992,0.0188337,64,8,-21,63,0.00682326254827888,-0.255882882200016
5.858139534883713,0.0058803807071126,0.0002908847890625,0.00958104037086404,0.02257646,64,8,-16,63,0.0058803807071126,0.162695460887771
5.858139534883713,0.00649633391965692,0.001197234525,0.0100035917043224,0.02538295,64,8,-15,63,0.00649633391965692,0.416741956946527
5.736734693877542,0.00583204557882488,0.0009779235890625,0.00949575576892613,0.0211724,64,23,-15,63,0.00583204557882488,0.418585148081437
4.3448275862068915,0.00823274958495733,0.002096212428125,0.0111464167211321,0.02818943,64,16,-16,63,0.00823274958495733,0.814620971962201
5.736734693877542,0.00673189393971496,0.000356673884375,0.0102498110493926,0.01930148,64,21,-18,63,0.00673189393971496,0.223916414907777
5.858139534883713,0.00652985214045904,0.0014237882953125,0.0100000883288501,0.02585072,64,3,-22,63,0.00652985214045904,0.621179959917977
4.862727272727284,0.00887700370545891,0.0024324161421875,0.0115233039797196,0.02304424,64,1,-24,63,0.00887700370545891,0.986182922961313
5.858139534883713,0.00728246471022322,0.0014676310890625,0.0105657261976475,0.02304424,64,8,-19,63,0.00728246471022322,0.634517237890792
