预测结果_Y,Mean,Energy,Standard Deviation,Entropy,Peak Value,Autocorrelation Lag,Peak Frequency,Autocorrelation Peak,Duration,Bandwidth
5.820925472225624,0.001869636021875,0.00754102570727412,0.0106926604650978,0.747884609459985,0.02444739,63,8,0.00754102570727412,64,-23
6.028614210535061,0.0037334529765625,0.00665891749021797,0.00949246620517831,1.42391755737897,0.02070463,63,0,0.00665891749021797,64,-23
5.721161523752922,0.000276246784375,0.0077282489786217,0.0109853346787927,0.126242294698888,0.01976925,63,8,0.0077282489786217,64,-15
5.888831857249763,0.001343369296875,0.00545448953183268,0.00913355121883592,0.506997416632575,0.02397961,63,8,0.00545448953183268,64,-20
5.975554432628892,0.003331428159375,0.00636660220512928,0.00940105025377847,1.22506644366316,0.03052813,63,0,0.00636660220512928,64,-24
5.863764600344679,0.0020158163515625,0.00594418210685685,0.00942413549650107,0.81414236346359,0.02538295,63,8,0.00594418210685685,64,-20
5.691156545470243,0.001730795678125,0.00961295423455215,0.0121328791403962,0.640797676749788,0.03006035,63,8,0.00961295423455215,64,-16
6.004524734506249,0.0034557016265625,0.00613646008861959,0.00916189473596234,1.34235032463078,0.02491517,63,0,0.00613646008861959,64,-23
5.87578611028972,-0.0009004712078125,0.00682326254827888,0.0102860404879992,-0.255882882200016,0.0188337,63,8,0.00682326254827888,64,-21
5.751851903429498,0.0002908847890625,0.0058803807071126,0.00958104037086404,0.162695460887771,0.02257646,63,8,0.0058803807071126,64,-16
5.7177925513463705,0.001197234525,0.00649633391965692,0.0100035917043224,0.416741956946527,0.02538295,63,8,0.00649633391965692,64,-15
5.764976635713193,0.0009779235890625,0.00583204557882488,0.00949575576892613,0.418585148081437,0.0211724,63,23,0.00583204557882488,64,-15
5.49460632361788,0.002096212428125,0.00823274958495733,0.0111464167211321,0.814620971962201,0.02818943,63,16,0.00823274958495733,64,-16
5.91526434195795,0.000356673884375,0.00673189393971496,0.0102498110493926,0.223916414907777,0.01930148,63,21,0.00673189393971496,64,-18
5.725917793620256,0.0014237882953125,0.00652985214045904,0.0100000883288501,0.621179959917977,0.02585072,63,3,0.00652985214045904,64,-22
5.658869271488986,0.0024324161421875,0.00887700370545891,0.0115233039797196,0.986182922961313,0.02304424,63,1,0.00887700370545891,64,-24
5.8484965098403086,0.0014676310890625,0.00728246471022322,0.0105657261976475,0.634517237890792,0.02304424,63,8,0.00728246471022322,64,-19
5.921620965622351,0.0014895780765625,0.00604970808443308,0.00960769722530281,0.658966303628209,0.02210796,63,8,0.00604970808443308,64,-18
6.022522767209429,0.003528777396875,0.00645312654435852,0.0094009484808133,1.32604066229978,0.02538295,63,0,0.00645312654435852,64,-23
5.796961973248575,0.0026005632203125,0.00845714889407492,0.011197322108749,0.973545773459333,0.02351202,63,8,0.00845714889407492,64,-19
5.825458363821346,0.0021108077296875,0.00788071634169015,0.0108940664385343,0.893958455653176,0.02164018,63,8,0.00788071634169015,64,-23
5.927494959596429,-0.001200183653125,0.0059584138207782,0.0095739111729967,-0.434884256510849,0.02070463,63,8,0.0059584138207782,64,-18
5.889786876491179,-0.000710445446875,0.00674838959906875,0.0102439667488949,-0.190039183566918,0.01649499,63,22,0.00674838959906875,64,-19
5.670153928349689,-0.0018798459859375,0.00751470905829486,0.010671621624899,-0.841313056913491,0.03239979,63,2,0.00751470905829486,64,-23
5.944241245310154,0.0004443368328125,0.00384275861119692,0.00773599819538229,0.218784935069335,0.01743055,63,8,0.00384275861119692,64,-18
5.8265417787822935,-5.26253109375003e-05,0.0087320844390065,0.0116805843148417,-0.0709220611200871,0.02351202,63,8,0.0087320844390065,64,-19
5.7356195363815665,0.001577303434375,0.00812021176826146,0.0111530454475446,0.617119491254916,0.0314635,63,8,0.00812021176826146,64,-13
