预测结果_Y,Mean,Entropy,Peak Value,Energy,Bandwidth,Autocorrelation Lag,Autocorrelation Peak,Standard Deviation,Peak Frequency,Duration
5.532750188290678,0.001869636021875,0.747884609459985,0.02444739,0.00754102570727412,-23,63,0.00754102570727412,0.0106926604650978,8,64
6.416723188457175,0.0037334529765625,1.42391755737897,0.02070463,0.00665891749021797,-23,63,0.00665891749021797,0.00949246620517831,0,64
5.154736322545979,0.000276246784375,0.126242294698888,0.01976925,0.0077282489786217,-15,63,0.0077282489786217,0.0109853346787927,8,64
6.870786772211205,0.001343369296875,0.506997416632575,0.02397961,0.00545448953183268,-20,63,0.00545448953183268,0.00913355121883592,8,64
6.315206149336217,0.003331428159375,1.22506644366316,0.03052813,0.00636660220512928,-24,63,0.00636660220512928,0.00940105025377847,0,64
6.671468380476134,0.0020158163515625,0.81414236346359,0.02538295,0.00594418210685685,-20,63,0.00594418210685685,0.00942413549650107,8,64
5.018490058928367,0.001730795678125,0.640797676749788,0.03006035,0.00961295423455215,-16,63,0.00961295423455215,0.0121328791403962,8,64
6.287543176740957,0.0034557016265625,1.34235032463078,0.02491517,0.00613646008861959,-23,63,0.00613646008861959,0.00916189473596234,0,64
6.046587378024782,-0.0009004712078125,-0.255882882200016,0.0188337,0.00682326254827888,-21,63,0.00682326254827888,0.0102860404879992,8,64
5.3136571164905355,0.0002908847890625,0.162695460887771,0.02257646,0.0058803807071126,-16,63,0.0058803807071126,0.00958104037086404,8,64
5.186348607525678,0.001197234525,0.416741956946527,0.02538295,0.00649633391965692,-15,63,0.00649633391965692,0.0100035917043224,8,64
5.488326397203406,0.0009779235890625,0.418585148081437,0.0211724,0.00583204557882488,-15,63,0.00583204557882488,0.00949575576892613,23,64
5.006762072587648,0.002096212428125,0.814620971962201,0.02818943,0.00823274958495733,-16,63,0.00823274958495733,0.0111464167211321,16,64
6.0273921501865395,0.000356673884375,0.223916414907777,0.01930148,0.00673189393971496,-18,63,0.00673189393971496,0.0102498110493926,21,64
5.896398997956539,0.0014237882953125,0.621179959917977,0.02585072,0.00652985214045904,-22,63,0.00652985214045904,0.0100000883288501,3,64
5.403902072835463,0.0024324161421875,0.986182922961313,0.02304424,0.00887700370545891,-24,63,0.00887700370545891,0.0115233039797196,1,64
5.672904587781952,0.0014676310890625,0.634517237890792,0.02304424,0.00728246471022322,-19,63,0.00728246471022322,0.0105657261976475,8,64
