预测结果_Y,Mean,Standard Deviation,Autocorrelation Peak,Peak Value,Autocorrelation Lag,Entropy,Energy,Bandwidth,Duration,Peak Frequency
5.054621,0.001869636021875,0.0106926604650978,0.00754102570727412,0.02444739,63,0.747884609459985,0.00754102570727412,-23,64,8
6.081815,0.0037334529765625,0.00949246620517831,0.00665891749021797,0.02070463,63,1.42391755737897,0.00665891749021797,-23,64,0
5.2128687,0.000276246784375,0.0109853346787927,0.0077282489786217,0.01976925,63,0.126242294698888,0.0077282489786217,-15,64,8
6.4806256,0.001343369296875,0.00913355121883592,0.00545448953183268,0.02397961,63,0.506997416632575,0.00545448953183268,-20,64,8
6.0257673,0.003331428159375,0.00940105025377847,0.00636660220512928,0.03052813,63,1.22506644366316,0.00636660220512928,-24,64,0
5.998383,0.0020158163515625,0.00942413549650107,0.00594418210685685,0.02538295,63,0.81414236346359,0.00594418210685685,-20,64,8
4.649446,0.001730795678125,0.0121328791403962,0.00961295423455215,0.03006035,63,0.640797676749788,0.00961295423455215,-16,64,8
6.2590446,0.0034557016265625,0.00916189473596234,0.00613646008861959,0.02491517,63,1.34235032463078,0.00613646008861959,-23,64,0
5.8944383,-0.0009004712078125,0.0102860404879992,0.00682326254827888,0.0188337,63,-0.255882882200016,0.00682326254827888,-21,64,8
5.235225,0.0002908847890625,0.00958104037086404,0.0058803807071126,0.02257646,63,0.162695460887771,0.0058803807071126,-16,64,8
5.240003,0.001197234525,0.0100035917043224,0.00649633391965692,0.02538295,63,0.416741956946527,0.00649633391965692,-15,64,8
5.682801,0.0009779235890625,0.00949575576892613,0.00583204557882488,0.0211724,63,0.418585148081437,0.00583204557882488,-15,64,23
4.537061,0.002096212428125,0.0111464167211321,0.00823274958495733,0.02818943,63,0.814620971962201,0.00823274958495733,-16,64,16
6.085756,0.000356673884375,0.0102498110493926,0.00673189393971496,0.01930148,63,0.223916414907777,0.00673189393971496,-18,64,21
6.042641,0.0014237882953125,0.0100000883288501,0.00652985214045904,0.02585072,63,0.621179959917977,0.00652985214045904,-22,64,3
4.5801725,0.0024324161421875,0.0115233039797196,0.00887700370545891,0.02304424,63,0.986182922961313,0.00887700370545891,-24,64,1
5.0459867,0.0014676310890625,0.0105657261976475,0.00728246471022322,0.02304424,63,0.634517237890792,0.00728246471022322,-19,64,8
6.6065,0.0014895780765625,0.00960769722530281,0.00604970808443308,0.02210796,63,0.658966303628209,0.00604970808443308,-18,64,8
6.11777,0.003528777396875,0.0094009484808133,0.00645312654435852,0.02538295,63,1.32604066229978,0.00645312654435852,-23,64,0
5.04881,0.0026005632203125,0.011197322108749,0.00845714889407492,0.02351202,63,0.973545773459333,0.00845714889407492,-19,64,8
5.0286098,0.0021108077296875,0.0108940664385343,0.00788071634169015,0.02164018,63,0.893958455653176,0.00788071634169015,-23,64,8
6.25724,-0.001200183653125,0.0095739111729967,0.0059584138207782,0.02070463,63,-0.434884256510849,0.0059584138207782,-18,64,8
6.060661,-0.000710445446875,0.0102439667488949,0.00674838959906875,0.01649499,63,-0.190039183566918,0.00674838959906875,-19,64,22
5.1131277,-0.0018798459859375,0.010671621624899,0.00751470905829486,0.03239979,63,-0.841313056913491,0.00751470905829486,-23,64,2
6.2293572,0.0004443368328125,0.00773599819538229,0.00384275861119692,0.01743055,63,0.218784935069335,0.00384275861119692,-18,64,8
5.198779,-5.26253109375003e-05,0.0116805843148417,0.0087320844390065,0.02351202,63,-0.0709220611200871,0.0087320844390065,-19,64,8
5.3988533,0.001577303434375,0.0111530454475446,0.00812021176826146,0.0314635,63,0.617119491254916,0.00812021176826146,-13,64,8
4.3201284,0.0025200986203125,0.0123179042932039,0.0101172264468884,0.03006035,63,0.885210378421674,0.0101172264468884,-23,64,8
6.3926706,0.001869618453125,0.00984872700884096,0.00643154539871609,0.03006035,63,0.634478197939948,0.00643154539871609,-23,64,8
