预测结果_Y,Standard Deviation,Duration,Energy,Entropy,Bandwidth,Autocorrelation Lag,Autocorrelation Peak,Mean,Peak Frequency,Peak Value
5.480409070971107,0.0106926604650978,64,0.00754102570727412,0.747884609459985,-23,63,0.00754102570727412,0.001869636021875,8,0.02444739
5.855130315937268,0.00949246620517831,64,0.00665891749021797,1.42391755737897,-23,63,0.00665891749021797,0.0037334529765625,0,0.02070463
5.309333738415031,0.0109853346787927,64,0.0077282489786217,0.126242294698888,-15,63,0.0077282489786217,0.000276246784375,8,0.01976925
6.43153725516118,0.00913355121883592,64,0.00545448953183268,0.506997416632575,-20,63,0.00545448953183268,0.001343369296875,8,0.02397961
5.710728714477631,0.00940105025377847,64,0.00636660220512928,1.22506644366316,-24,63,0.00636660220512928,0.003331428159375,0,0.03052813
5.904123423816328,0.00942413549650107,64,0.00594418210685685,0.81414236346359,-20,63,0.00594418210685685,0.0020158163515625,8,0.02538295
4.79392320761281,0.0121328791403962,64,0.00961295423455215,0.640797676749788,-16,63,0.00961295423455215,0.001730795678125,8,0.03006035
6.338707008553474,0.00916189473596234,64,0.00613646008861959,1.34235032463078,-23,63,0.00613646008861959,0.0034557016265625,0,0.02491517
5.823230055950677,0.0102860404879992,64,0.00682326254827888,-0.255882882200016,-21,63,0.00682326254827888,-0.0009004712078125,8,0.0188337
5.461730389825052,0.00958104037086404,64,0.0058803807071126,0.162695460887771,-16,63,0.0058803807071126,0.0002908847890625,8,0.02257646
4.8995827940675785,0.0100035917043224,64,0.00649633391965692,0.416741956946527,-15,63,0.00649633391965692,0.001197234525,8,0.02538295
5.65029504316088,0.00949575576892613,64,0.00583204557882488,0.418585148081437,-15,63,0.00583204557882488,0.0009779235890625,23,0.0211724
4.718832850783001,0.0111464167211321,64,0.00823274958495733,0.814620971962201,-16,63,0.00823274958495733,0.002096212428125,16,0.02818943
6.061393197454205,0.0102498110493926,64,0.00673189393971496,0.223916414907777,-18,63,0.00673189393971496,0.000356673884375,21,0.01930148
5.981967201393327,0.0100000883288501,64,0.00652985214045904,0.621179959917977,-22,63,0.00652985214045904,0.0014237882953125,3,0.02585072
5.049880246220846,0.0115233039797196,64,0.00887700370545891,0.986182922961313,-24,63,0.00887700370545891,0.0024324161421875,1,0.02304424
5.415877870880886,0.0105657261976475,64,0.00728246471022322,0.634517237890792,-19,63,0.00728246471022322,0.0014676310890625,8,0.02304424
6.244442597918893,0.00960769722530281,64,0.00604970808443308,0.658966303628209,-18,63,0.00604970808443308,0.0014895780765625,8,0.02210796
5.5934734197460205,0.0094009484808133,64,0.00645312654435852,1.32604066229978,-23,63,0.00645312654435852,0.003528777396875,0,0.02538295
4.910917316267384,0.011197322108749,64,0.00845714889407492,0.973545773459333,-19,63,0.00845714889407492,0.0026005632203125,8,0.02351202
4.452919728545869,0.0108940664385343,64,0.00788071634169015,0.893958455653176,-23,63,0.00788071634169015,0.0021108077296875,8,0.02164018
6.508094034777755,0.0095739111729967,64,0.0059584138207782,-0.434884256510849,-18,63,0.0059584138207782,-0.001200183653125,8,0.02070463
5.82748236380712,0.0102439667488949,64,0.00674838959906875,-0.190039183566918,-19,63,0.00674838959906875,-0.000710445446875,22,0.01649499
5.183213920699058,0.010671621624899,64,0.00751470905829486,-0.841313056913491,-23,63,0.00751470905829486,-0.0018798459859375,2,0.03239979
6.466227932291055,0.00773599819538229,64,0.00384275861119692,0.218784935069335,-18,63,0.00384275861119692,0.0004443368328125,8,0.01743055
5.219702549716872,0.0116805843148417,64,0.0087320844390065,-0.0709220611200871,-19,63,0.0087320844390065,-5.26253109375003e-05,8,0.02351202
5.550918469827964,0.0111530454475446,64,0.00812021176826146,0.617119491254916,-13,63,0.00812021176826146,0.001577303434375,8,0.0314635
4.608516946528818,0.0123179042932039,64,0.0101172264468884,0.885210378421674,-23,63,0.0101172264468884,0.0025200986203125,8,0.03006035
5.94157029248916,0.00984872700884096,64,0.00643154539871609,0.634478197939948,-23,63,0.00643154539871609,0.001869618453125,8,0.03006035
5.278847105286229,0.010610538831834,64,0.00831147738083717,1.55488551344081,-23,63,0.00831147738083717,0.0041573188203125,0,0.0291248
6.209607607801815,0.00929945036287511,64,0.00737067500396914,2.07805401848034,-25,63,0.00737067500396914,0.0053560265015625,0,0.02351202
5.04285072124671,0.0113090368328126,64,0.00931486485142408,1.61222753418282,-23,63,0.00931486485142408,0.0042012437703125,0,0.03754497
5.820702224811281,0.0102186987401638,64,0.00688789016717667,0.683873668174216,-23,63,0.00688789016717667,0.001789267984375,5,0.02585072
5.2718880928721745,0.0106568085759377,64,0.00756948612271098,0.890890693520401,-23,63,0.00756948612271098,0.0021692514015625,8,0.02725387
5.024186644289777,0.0111005610725947,64,0.00801919600598954,-0.627671347737434,-18,63,0.00801919600598955,-0.0014413471015625,8,0.04596515
5.716421110466476,0.0102967512725262,64,0.00716506271414154,-0.860850998580339,-23,63,0.00716506271414154,-0.0024353681734375,1,0.01789833
5.498071728823962,0.0106914987459488,64,0.00735356087014728,-0.309170246699856,-23,63,0.00735356087014728,-0.000768923378125,8,0.02210796
4.877679462115467,0.0103294674156815,64,0.00709441069574432,0.625331393780033,-23,63,0.00709441069574432,0.002037711959375,8,0.03520627
4.888486448432874,0.0106432916037928,64,0.008170103929504,1.42896432758277,-20,63,0.008170103929504,0.003791862040625,0,0.03286757
4.932131268823854,0.0105755078819353,64,0.00751853421926162,0.923545518293486,-23,63,0.00751853421926162,0.0023739692953125,8,0.0314635
6.381840012000629,0.00855788431371466,64,0.00490053862137739,0.768164526088355,-21,63,0.00490053862137739,0.0018257962734375,8,0.02164018
6.256200820580796,0.00919043399578636,64,0.00557846249894568,0.663100884897506,-18,63,0.00557846249894568,0.001642984940625,8,0.02351202
4.94789202662892,0.010570906454414,64,0.00716467733582332,0.209437255467613,-23,63,0.00716467733582332,0.000451685846874999,8,0.03333534
