预测结果_Y,Mean,Autocorrelation Lag,Autocorrelation Peak,Energy,Standard Deviation,Entropy,Peak Frequency,Duration,Bandwidth,Peak Value
37.16467274240158,0.001869636021875,63,0.00754102570727412,0.00754102570727412,0.0106926604650978,0.747884609459985,8,64,-23,0.02444739
41.29848703366069,0.0037334529765625,63,0.00665891749021797,0.00665891749021797,0.00949246620517831,1.42391755737897,0,64,-23,0.02070463
41.02682133489047,0.000276246784375,63,0.0077282489786217,0.0077282489786217,0.0109853346787927,0.126242294698888,8,64,-15,0.01976925
38.61347677654577,0.001343369296875,63,0.00545448953183268,0.00545448953183268,0.00913355121883592,0.506997416632575,8,64,-20,0.02397961
40.81321915952212,0.003331428159375,63,0.00636660220512928,0.00636660220512928,0.00940105025377847,1.22506644366316,0,64,-24,0.03052813
38.612701439582494,0.0020158163515625,63,0.00594418210685685,0.00594418210685685,0.00942413549650107,0.81414236346359,8,64,-20,0.02538295
40.54021640622919,0.001730795678125,63,0.00961295423455215,0.00961295423455215,0.0121328791403962,0.640797676749788,8,64,-16,0.03006035
41.2974998536411,0.0034557016265625,63,0.00613646008861959,0.00613646008861959,0.00916189473596234,1.34235032463078,0,64,-23,0.02491517
38.132445344346976,-0.0009004712078125,63,0.00682326254827888,0.00682326254827888,0.0102860404879992,-0.255882882200016,8,64,-21,0.0188337
40.544173492843626,0.0002908847890625,63,0.0058803807071126,0.0058803807071126,0.00958104037086404,0.162695460887771,8,64,-16,0.02257646
41.025442249336876,0.001197234525,63,0.00649633391965692,0.00649633391965692,0.0100035917043224,0.416741956946527,8,64,-15,0.02538295
33.27835211114164,0.0009779235890625,63,0.00583204557882488,0.00583204557882488,0.00949575576892613,0.418585148081437,23,64,-15,0.0211724
36.40856852047442,0.002096212428125,63,0.00823274958495733,0.00823274958495733,0.0111464167211321,0.814620971962201,16,64,-16,0.02818943
32.86414832021653,0.000356673884375,63,0.00673189393971496,0.00673189393971496,0.0102498110493926,0.223916414907777,21,64,-18,0.01930148
40.23018485821915,0.0014237882953125,63,0.00652985214045904,0.00652985214045904,0.0100000883288501,0.621179959917977,3,64,-22,0.02585072
